ID	Key	EnlDate	From	EntryFolio	EntryID	EntryText
1	Teyler, Abraham	1642-06-25	London	3v	ent45	John Greate of the Crowne in Redcros streete Brewer enrolled two bay horses, their Riders Abraham Teyler and Roger Bridges, armed w[i]th Carabines pistolls Backes Brests and headpeeces one of the said horses and armes valued at 34 [pounds] the other at 26 [pounds] in all £60 - 0 - 0
3	Bridges, Roger	1642-06-25	London	3v	ent45	John Greate of the Crowne in Redcros streete Brewer enrolled two bay horses, their Riders Abraham Teyler and Roger Bridges, armed w[i]th Carabines pistolls Backes Brests and headpeeces one of the said horses and armes valued at 34 [pounds] the other at 26 [pounds] in all £60 - 0 - 0
5	Sleigh, Stephen	1642-07-28	Shropshire	26r	ent439	William Rowley of Sallap Draper listed one tall grey geldinge his rider Stephen Sleigh, armed w[i]th Carbine pistolls buffe Coate and sword £25 - 0 - 0
6	Short, Gregory	1642-07-07	London	13v	ent221	Thomas Noell of Noble streete goldsmith registred one bay horse, and one bay geldinge w[i]th one wall eye and a starr in his forehead, his Riders Edward Robinson and Gregory Short armed w[i]th Carabines pistolls buffe coats and swords the gelding and his Armes valued at 26 [pounds] and the horse and his Armes at 24 [pounds] £50 - 0 - 0
6	Short, Gregory	1642-07-29	London	26r	ent440	Giles Barrawe and Moses Jenkins of Watlingstreete Drapers listed one Chesnutt w[i]th a blase and a white foote behind, his rider Gregory Short armed w[i]th a Carabine pistolls buffe Coate and sword £25 - 0 - 0
8	Meane, Daniell	1642-08-02	London	28r	ent472	Richard Arnold and Jasper Dennis of Roodelane in Fanchurch streete listed one roane geldinge his rider Daniell Meane armed w[i]th Carabine pistolls buffe Coate and sword £22 - 0 - 0
9	Church, George	1642-08-02	Southwark	28v	ent478	John Williams of Bransby streete Feltmaker listed one bay horse his rider George Church armed w[i]th Carabine pistolls buffe Coate and sword £22 - 0 - 0
15	Bendall, Helbright	1642-08-06	London	34v	ent624	Jeffery Thomas of Paternoster Row merchantayler listed one Chesnutt horse w[i]th a starr, his rider Helbright bendall, armed w[i]th Carabin pistolls buffe Coate and sword £21 - 0 - 0
16	Philips, Humfry	1642-07-15	London	18v	ent309	Francis Griffin m[er]chantayler, and Francis Powell vin[tner] of Paternoster Row, entred one blacke geldinge, his rider Humfry Philips armed w[i]th Carbine case of pistolls buffe coate and sword £24 - 0 - 0
17	Clare, George	1642-06-22	London	2r	ent20	Richard Hunt of Beerebinder Lane Comfit maker enrolled one bay gelding w[i]th a starr in his forehead his Rider George Clare armed w[i]th a buffe Coate a Carabine a Case of Pistolls and a sword £23 - 0
18	Spicer, Richard	1642-07-12	London	17v	ent291	John Rolphe of the vine in Cornehill goldsmith entred one sorell geldinge, his rider Richard Spicer armed w[i]th a Carbine a case of pistolls a buffe coate and a sword £20 - 0 - 0
22	Robinson, John	1642-06-22	London	2r	ent23	Benjamin Goodwynn of the Katherin wheele in Grace church streete Linen Draper enrolled one bay horse w[i]th a Blase in his fore head John Robinson his Rider armed w[i]th a Buff Coate a Carabine a Case of pistolls and a sword £23 - 0 - 0
23	Johnson, Christopher	1642-08-03	unstated	28v	ent480	S[i]r John Drayden Knight and Baronett one of the members of the hon[or]able house of Comons listed one white geldinge and one blacke stone horse their riders William Aris and Christopher Johnson, armed w[i]th Carabines pistolls buffe coates and swords the said white horse and armes valued at 22 [pounds] and the blacke and his Armes at 19 [pounds] £41 - 0 - 0
25	Hall, John	1642-07-09	London	15r	ent251	Richard Saunders of Fleete streete merchant teyler entred one bright bay bald geldinge w[i]th fower white feete; his rider John Hall, armed w[i]th a Carbine, a case of pistolls a buffecoate and sword £21 - 0 - 0
25	Hall, John	1642-07-16	London	19v	ent323	Richard Hunt of Beerebinder lane salter registred one Chesnutt horse w[i]th a white starr and a white nose his rider John Hall armed w[i]th a Carbine a case of pistolls a buffe coate and a sword £22 - 0 - 0
28	Mortimer, Thomas	1642-07-01	London	8r	ent118	Thomas Lambe of Gratiousstreete leather seller entred one roan geldinge his Rider Thomas Mortimer armed w[i]th a buffe Coate a Carbine, a Case of pistolls and a sword £20 - 0 - 0
29	Spencer, John	1642-08-08	Southwark	35r	ent631	Richard Wright of the Rose in Southwarke grocer listed one browne bay geldinge w[i]th a starr, and a hole in his neere eare, his Rider John Spencer armed w[i]th a Carabine a case of pistolls headpeece backe and brest £18 - 0 - 0
30	Dandoe, James	1642-06-24	London	3r	ent35	James Hubland of Beerebinder lane m[er]chant entred one able bay geldinge his Rider James Dandoe armed w[i]th a Carabine a Case of pistolls, buffe Coate and sword £22 - 0 - 0
32	Aris, William	1642-08-03	unstated	28v	ent480	S[i]r John Drayden Knight and Baronett one of the members of the hon[or]able house of Comons listed one white geldinge and one blacke stone horse their riders William Aris and Christopher Johnson, armed w[i]th Carabines pistolls buffe coates and swords the said white horse and armes valued at 22 [pounds] and the blacke and his Armes at 19 [pounds] £41 - 0 - 0
34	Parsons, Thomas	1642-08-11	London	42v	ent813	Roger Sayer of the Crowne in Bredstreete pewterer listed one bright bay geldinge his rider Thomas Parsons, armed w[i]th a Carabine a case of pistolls buffe Coate and sword £19 - 0 - 0
36	Ellis, Robert	1642-07-15	Southwark	18v	ent310	John Humfryes in Southwarke nere the bridge broderer registred one bay horse, his rider Robert Ellis armed w[i]th a carbine a case of pistolls a buffecoate and sword £25 - 0 - 0
38	Skallit, Thomas	1642-07-14	unstated	18r	ent301	S[i]r Samuell Luke Knight one of the members of the ho[onora]ble house of Comons entred two horses, their riders Henry Lee and Thomas Skallit armed w[i]th Carbines pistolls buffe coates and swords £45 - 0 - 0
43	Dowglas, John	1642-07-26	London	25r	ent427	William Viner of London bridge hab[er]dasher listed one bay horse w[i]th a starr, his rider John Dowglas armed w[i]th a Carbine, a case of pistolls buffe Coate, and sword £19 - 0 - 0
46	Maryott, John (merchant tailor, Thames Street)	1642-06-28	London	5v	ent80	John Maryott of Thamestreete nere the brige merchant tayler enrolled one white horse Rider himselfe furnished w[i]th a Carbine a Case of pistolls, headpeece backe and brest £35 - 0 - 0
54	Cade, Timothy	1642-07-25	unstated	24r	ent405	Thomas Arundell esq[uire] one of the members of the hon[or]able house of Comons listed one bay nag, his rider Timothy Cade armed w[i]th Carabine pistolls buffe Coate and sword £16 - 10 - 0
55	White, John	1642-08-02	London	28r	ent475	John Bullard of Newgate markett skinner listed one white geldinge w[i]th a rawe nose, his rider John White, armed w[i]th Carabine pistolls buffe Coate and sword £23 - 10 - 0
58	Bucklye, George	1642-07-13	London	17v	ent292	James Story haberdasher nere m[er]chantaylers hall listed one browne bay horse, his rider George Bucklye armed w[i]th a carbine a case of pistolls a buffe coate and a sword £22 - 0 - 0
59	Parcell, John	1642-06-22	London	2r	ent24	Richard Rogers and Edward Underwood of Bucklersbery grosers registered one browne bay horse his Rider John Parcell furnished w[i]th a Carabine a Case of pistolls a Buffe Coate and a sword £16 - 0
